side_length,board_size,matchup,player_policy,enemy_policy,winner,win_reason,final_round,threshold_60,player_first_rounds,enemy_first_rounds,p_controlled,e_controlled,p_non_core,e_non_core,neutral_fields,build,raid,raid_takeovers,raid_absorbed_by_shield,fortify,rebuild,field_upgrade,core_upgrade,wait,p_build,p_raid,p_fortify,p_rebuild,p_wait,e_build,e_raid,e_fortify,e_rebuild,e_wait,p_holz_waste,p_stein_waste,p_korn_waste,e_holz_waste,e_stein_waste,e_korn_waste,p_holz,p_stein,p_korn,e_holz,e_stein,e_korn,final_shielded_fields,final_shield_points,final_max_shield
5,61,utility_balancer_vs_utility_rusher,utility_balancer,utility_rusher,enemy,full_board_majority,40,37,20,20,27,34,26,33,0,57,134,127,7,24,0,6,2,17,30,61,18,0,7,27,73,6,0,10,94,88,143,142,88,214,0,12,8,12,12,7,14,17,3
5,61,utility_balancer_vs_utility_economist,utility_balancer,utility_economist,enemy,full_board_majority,42,37,21,21,30,31,29,30,0,57,81,77,4,86,0,9,2,14,25,41,46,0,7,32,40,40,0,7,174,160,172,151,48,216,12,12,12,0,12,2,36,82,3
5,61,utility_balancer_vs_utility_fortifier,utility_balancer,utility_fortifier,enemy,full_board_majority,42,37,21,21,30,31,29,30,0,57,75,64,11,93,1,6,2,16,30,34,44,1,11,27,41,49,0,5,166,94,176,133,94,201,0,12,12,12,12,0,39,82,3
5,61,utility_balancer_vs_utility_aggro_turtle,utility_balancer,utility_aggro_turtle,player,full_board_majority,48,37,24,24,31,30,30,29,0,57,109,97,12,97,2,6,2,14,26,57,46,1,9,31,52,51,1,5,242,170,176,141,51,297,0,12,6,10,12,4,37,85,3
5,61,utility_balancer_vs_utility_opportunist,utility_balancer,utility_opportunist,enemy,full_board_majority,40,37,20,20,30,31,29,30,0,57,84,74,10,74,1,8,2,13,28,40,40,0,7,29,44,34,1,6,95,83,266,187,115,69,0,12,8,12,12,7,31,64,3
5,61,utility_rusher_vs_phase_player,utility_rusher,phase_player,player,territory,51,37,26,25,37,23,36,22,1,56,125,95,30,54,10,28,2,27,30,75,22,0,15,26,50,32,10,12,144,183,255,42,52,538,12,8,9,12,12,12,18,24,3
5,61,utility_rusher_vs_rusher,utility_rusher,rusher,,none,121,37,60,60,25,25,24,24,11,46,578,571,7,26,0,21,2,47,30,282,26,0,5,16,296,0,0,42,941,549,648,41,27,1226,12,0,7,4,10,4,8,19,3
5,61,utility_rusher_vs_utility_balancer,utility_rusher,utility_balancer,player,territory,37,37,19,18,37,23,36,22,1,56,112,105,7,26,0,7,2,16,28,62,6,0,11,28,50,20,0,5,58,103,185,91,38,180,0,12,10,12,12,12,15,19,2
5,61,utility_rusher_vs_utility_rusher,utility_rusher,utility_rusher,player,full_board_majority,45,37,23,22,32,29,31,28,0,57,160,154,6,21,0,6,2,20,32,80,10,0,8,25,80,11,0,12,132,115,201,147,48,249,0,12,9,12,12,12,12,15,2
5,61,utility_rusher_vs_utility_economist,utility_rusher,utility_economist,player,full_board_majority,43,37,22,21,35,26,34,25,0,57,147,137,10,23,0,9,2,16,32,77,6,0,9,25,70,17,0,7,125,123,201,133,62,280,0,12,11,12,12,12,8,13,3
